B,u,h,uh
-0.000151827852818715,-0.0315241399195502,0.439385382059797,-0.0494002363562021
-0.000156354765448232,-0.0312727499249383,0.442674418604647,-0.0491533971734386
-0.000159018385349242,-0.0311814680703327,0.442674418604647,-0.0488022699902961
-0.000161790657737865,-0.0309682763403357,0.442674418604647,-0.0479919605545848
-0.000164182455731032,-0.0307561103483047,0.443571428571424,-0.0473688724438837
-0.00016749768745174,-0.0304072773154826,0.444468438538202,-0.0473088307266697
-0.000170648116544765,-0.0303609860529775,0.44895348837209,-0.0473369049252784
-0.000175940062854366,-0.0302098051695408,0.453139534883718,-0.0466629238379311
-0.000184228989574172,-0.0304130844888615,0.457624584717605,-0.0459600511132528
-0.000188399728084837,-0.0303497229502169,0.462109634551491,-0.0455532107248596
-0.000192621594497959,-0.0305925526179077,0.464501661129564,-0.0460230561504254
-0.000195232102089121,-0.0311073047267226,0.464202657807305,-0.0462988301200701
-0.000199741942273444,-0.0312974880761555,0.467192691029896,-0.0462622831579971
-0.000203484553933112,-0.0320223444710029,0.470780730897006,-0.0464615026806991
-0.000204182166501458,-0.0325094480169729,0.47317275747508,-0.0467452127377865
-0.000209120483101909,-0.0327143318937983,0.479235880398668,-0.0465155562285092
-0.00021058525637093,-0.032669226161003,0.484352159468435,-0.0471192783534314
-0.000214342583143412,-0.0332596067903775,0.488837209302322,-0.0478193836784623
-0.000214226415626374,-0.0337357335018537,0.492491694352155,-0.0489420305814547
-0.000218961985922486,-0.0344662087119179,0.494069767441856,-0.0501164351195147
-0.000218932715388112,-0.0352555974338776,0.494069767441856,-0.0511450414836767
-0.000219794408304847,-0.0352951509655448,0.495265780730893,-0.0518486396850962
-0.000221335872354293,-0.0358183379743157,0.499451827242521,-0.0529902991152511
-0.000226165821538716,-0.0363454853825929,0.503936877076408,-0.0539213187641024
-0.00023119164829801,-0.0367929520208361,0.507823920265776,-0.05434864077732
-0.000234825825636188,-0.0371709149208497,0.515199335548169,-0.0544529759763011
-0.000241658374959307,-0.0376758268345685,0.519933554817272,-0.0548347087722526
-0.000244118813725261,-0.0382719506934494,0.521179401993352,-0.055159754099993
-0.000249896021069336,-0.0386819326281237,0.521179401993352,-0.0553986559729453
-0.000258371573525864,-0.0390583975739607,0.521179401993352,-0.0552376960205883
-0.000263616888605463,-0.039624552523443,0.522973421926906,-0.0562262727228037
-0.000267908701637812,-0.0403209682180512,0.525365448504979,-0.0562675402570832
-0.000273128931243352,-0.040464955845877,0.529999999999996,-0.0561013954115744
-0.00028008321552421,-0.0408382352836307,0.535332225913617,-0.0559494666988202
-0.000279917703713369,-0.0407827750743927,0.542458471760794,-0.0559911477128484
-0.000282877172164277,-0.0405112032865286,0.545614617940197,-0.0554974091666667
-0.000286697614917907,-0.04098133577433,0.549717607973419,-0.0552527019502102
-0.000289702561262472,-0.0411719807162053,0.554451827242522,-0.0551595665223714
-0.000290936862742367,-0.0412000817400209,0.557292358803984,-0.0550260844662044
-0.000290568276340666,-0.0409943002535407,0.557607973421924,-0.0549962147009753
-0.000289298657763364,-0.0407334783615474,0.557607973421924,-0.0550949496234362
-0.000287964155021101,-0.0406277148697918,0.557607973421924,-0.0550758014587782
-0.000291739319028363,-0.0404910618070219,0.557607973421924,-0.0548056264228432
